# time_in_ns	dG_in_kT
0.000	0.000000
0.010	10.000000
0.020	10.000000
0.030	10.000000
0.040	10.000000
0.050	10.000000
0.060	10.000000
0.070	10.000000
0.080	10.000000
0.090	10.000000
0.100	20.000000
0.110	60.000000
0.120	100.000000
0.130	100.000000
0.140	170.000000
0.150	170.000000
0.160	170.000000
0.170	170.000000
0.180	170.000000
0.190	170.000000
0.200	170.000000
0.210	170.000000
0.220	170.000000
0.230	170.000000
0.240	170.000000
0.250	170.000000
0.260	170.000000
0.270	170.000000
0.280	170.000000
0.290	210.000000
0.300	210.000000
0.310	250.000000
0.320	280.000000
0.330	280.000000
0.340	280.000000
0.350	280.000000
0.360	280.000000
0.370	280.000000
0.380	250.000000
0.390	250.000000
0.400	210.000000
0.410	210.000000
0.420	210.000000
0.430	210.000000
0.440	210.000000
0.450	210.000000
0.460	210.000000
0.470	210.000000
0.480	210.000000
0.490	210.000000
0.500	210.000000
0.510	150.000000
0.520	150.000000
0.530	140.000000
0.540	115.000000
0.550	90.000000
0.560	90.000000
0.570	90.000000
0.580	90.000000
0.590	90.000000
0.600	90.000000
0.610	90.000000
0.620	90.000000
0.630	90.000000
0.640	70.000000
0.650	70.000000
0.660	70.000000
0.670	70.000000
0.680	70.000000
0.690	70.000000
0.700	70.000000
0.710	70.000000
0.720	70.000000
0.730	70.000000
0.740	70.000000
0.750	70.000000
0.760	70.000000
0.770	70.000000
0.780	70.000000
0.790	70.000000
0.800	70.000000
0.810	70.000000
0.820	70.000000
0.830	70.000000
0.840	70.000000
0.850	70.000000
0.860	60.000000
0.870	25.000000
0.880	20.000000
0.890	20.000000
0.900	20.000000
0.910	0.000000
0.920	0.000000
0.930	0.000000
0.940	0.000000
0.950	0.000000
0.960	0.000000
0.970	0.000000
0.980	0.000000
0.990	0.000000
1.000	0.000000
1.010	0.000000
1.020	0.000000
1.030	0.000000
1.040	0.000000
1.050	0.000000
1.060	0.000000
1.070	0.000000
1.080	0.000000
1.090	20.000000
1.100	30.000000
1.110	30.000000
1.120	30.000000
1.130	30.000000
1.140	30.000000
1.150	45.000000
1.160	60.000000
1.170	60.000000
1.180	65.000000
1.190	85.000000
1.200	110.000000
1.210	110.000000
1.220	110.000000
1.230	110.000000
1.240	110.000000
1.250	110.000000
1.260	110.000000
1.270	110.000000
1.280	90.000000
1.290	65.000000
1.300	50.000000
1.310	25.000000
1.320	25.000000
1.330	25.000000
1.340	25.000000
1.350	25.000000
1.360	25.000000
1.370	25.000000
1.380	25.000000
1.390	25.000000
1.400	25.000000
1.410	25.000000
1.420	5.000000
1.430	5.000000
1.440	-5.000000
1.450	-30.000000
1.460	-30.000000
1.470	-30.000000
1.480	-30.000000
1.490	-30.000000
1.500	-30.000000
1.510	-30.000000
1.520	-30.000000
1.530	-30.000000
1.540	-30.000000
1.550	-30.000000
1.560	-30.000000
1.570	-30.000000
1.580	-30.000000
1.590	-30.000000
1.600	-30.000000
1.610	-30.000000
1.620	-30.000000
1.630	-30.000000
1.640	-30.000000
1.650	-30.000000
1.660	-30.000000
1.670	-30.000000
1.680	-30.000000
1.690	-20.000000
1.700	-10.000000
1.710	-10.000000
1.720	-10.000000
1.730	-10.000000
1.740	-10.000000
1.750	-10.000000
1.760	-10.000000
1.770	-10.000000
1.780	-10.000000
1.790	-10.000000
1.800	-35.000000
1.810	-40.000000
1.820	-75.000000
1.830	-75.000000
1.840	-90.000000
1.850	-105.000000
1.860	-105.000000
1.870	-105.000000
1.880	-105.000000
1.890	-105.000000
1.900	-105.000000
1.910	-105.000000
1.920	-105.000000
1.930	-105.000000
1.940	-105.000000
1.950	-80.000000
1.960	-70.000000
1.970	-65.000000
1.980	-55.000000
1.990	-25.000000
2.000	-15.000000
2.010	-15.000000
2.020	-15.000000
2.030	-15.000000
2.040	-15.000000
2.050	-15.000000
2.060	-15.000000
2.070	-15.000000
2.080	-15.000000
2.090	-15.000000
2.100	-15.000000
2.110	-15.000000
2.120	-15.000000
2.130	-15.000000
2.140	-15.000000
2.150	-15.000000
2.160	-15.000000
2.170	-2.500000
2.180	-2.500000
2.190	-2.500000
2.200	-2.500000
2.210	-2.500000
2.220	-2.500000
2.230	-2.500000
2.240	-2.500000
2.250	-2.500000
2.260	-2.500000
2.270	-2.500000
2.280	-2.500000
2.290	-2.500000
2.300	-2.500000
2.310	-2.500000
2.320	-2.500000
2.330	-2.500000
2.340	-2.500000
2.350	-2.500000
2.360	7.500000
2.370	15.000000
2.380	15.000000
2.390	15.000000
2.400	15.000000
2.410	15.000000
2.420	15.000000
2.430	15.000000
2.440	15.000000
2.450	15.000000
2.460	15.000000
2.470	15.000000
2.480	15.000000
2.490	15.000000
2.500	15.000000
2.510	15.000000
2.520	15.000000
2.530	15.000000
2.540	15.000000
2.550	15.000000
2.560	15.000000
2.570	15.000000
2.580	15.000000
