# time_in_ns	wl_increment_in_kT
0.000	10.000000
0.010	10.000000
0.020	10.000000
0.030	10.000000
0.040	10.000000
0.050	10.000000
0.060	10.000000
0.070	10.000000
0.080	10.000000
0.090	10.000000
0.100	10.000000
0.110	10.000000
0.120	10.000000
0.130	10.000000
0.140	10.000000
0.150	10.000000
0.160	10.000000
0.170	10.000000
0.180	10.000000
0.190	10.000000
0.200	10.000000
0.210	10.000000
0.220	10.000000
0.230	10.000000
0.240	10.000000
0.250	10.000000
0.260	10.000000
0.270	10.000000
0.280	10.000000
0.290	10.000000
0.300	10.000000
0.310	10.000000
0.320	10.000000
0.330	10.000000
0.340	10.000000
0.350	10.000000
0.360	10.000000
0.370	5.000000
0.380	5.000000
0.390	5.000000
0.400	5.000000
0.410	5.000000
0.420	5.000000
0.430	5.000000
0.440	5.000000
0.450	5.000000
0.460	5.000000
0.470	5.000000
0.480	5.000000
0.490	5.000000
0.500	5.000000
0.510	5.000000
0.520	5.000000
0.530	5.000000
0.540	5.000000
0.550	5.000000
0.560	5.000000
0.570	5.000000
0.580	5.000000
0.590	5.000000
0.600	5.000000
0.610	5.000000
0.620	5.000000
0.630	5.000000
0.640	5.000000
0.650	5.000000
0.660	5.000000
0.670	5.000000
0.680	5.000000
0.690	5.000000
0.700	5.000000
0.710	5.000000
0.720	5.000000
0.730	5.000000
0.740	5.000000
0.750	5.000000
0.760	5.000000
0.770	5.000000
0.780	5.000000
0.790	5.000000
0.800	5.000000
0.810	5.000000
0.820	5.000000
0.830	5.000000
0.840	5.000000
0.850	5.000000
0.860	5.000000
0.870	5.000000
0.880	5.000000
0.890	5.000000
0.900	5.000000
0.910	5.000000
0.920	5.000000
0.930	5.000000
0.940	5.000000
0.950	5.000000
0.960	5.000000
0.970	5.000000
0.980	5.000000
0.990	5.000000
1.000	5.000000
1.010	5.000000
1.020	5.000000
1.030	5.000000
1.040	5.000000
1.050	5.000000
1.060	5.000000
1.070	5.000000
1.080	5.000000
1.090	5.000000
1.100	5.000000
1.110	5.000000
1.120	5.000000
1.130	5.000000
1.140	5.000000
1.150	5.000000
1.160	5.000000
1.170	2.500000
1.180	2.500000
1.190	2.500000
1.200	2.500000
1.210	2.500000
1.220	2.500000
1.230	2.500000
1.240	2.500000
1.250	2.500000
1.260	2.500000
1.270	2.500000
1.280	2.500000
1.290	2.500000
1.300	2.500000
1.310	2.500000
1.320	2.500000
1.330	2.500000
1.340	2.500000
1.350	2.500000
1.360	2.500000
1.370	2.500000
1.380	2.500000
1.390	2.500000
1.400	2.500000
1.410	2.500000
1.420	2.500000
1.430	2.500000
1.440	2.500000
1.450	2.500000
1.460	2.500000
1.470	2.500000
1.480	2.500000
1.490	2.500000
1.500	2.500000
1.510	2.500000
1.520	2.500000
1.530	2.500000
1.540	2.500000
1.550	2.500000
1.560	2.500000
1.570	2.500000
1.580	2.500000
1.590	2.500000
1.600	2.500000
1.610	2.500000
1.620	2.500000
1.630	2.500000
1.640	2.500000
1.650	2.500000
1.660	2.500000
1.670	2.500000
1.680	2.500000
1.690	2.500000
1.700	2.500000
1.710	2.500000
1.720	2.500000
1.730	2.500000
1.740	2.500000
1.750	2.500000
1.760	2.500000
1.770	2.500000
1.780	2.500000
1.790	2.500000
1.800	2.500000
1.810	2.500000
1.820	2.500000
1.830	2.500000
1.840	2.500000
1.850	2.500000
1.860	2.500000
1.870	1.250000
1.880	1.250000
1.890	1.250000
1.900	1.250000
1.910	1.250000
1.920	1.250000
1.930	1.250000
1.940	1.250000
1.950	1.250000
1.960	1.250000
1.970	1.250000
1.980	1.250000
1.990	1.250000
2.000	1.250000
2.010	1.250000
2.020	1.250000
2.030	1.250000
2.040	1.250000
2.050	1.250000
2.060	1.250000
2.070	1.250000
2.080	1.250000
2.090	1.250000
2.100	1.250000
2.110	1.250000
2.120	1.250000
2.130	1.250000
2.140	1.250000
2.150	1.250000
2.160	1.250000
2.170	1.250000
2.180	1.250000
2.190	1.250000
2.200	1.250000
2.210	1.250000
2.220	1.250000
2.230	1.250000
2.240	1.250000
2.250	1.250000
2.260	1.250000
2.270	1.250000
2.280	1.250000
2.290	1.250000
2.300	1.250000
2.310	1.250000
2.320	1.250000
2.330	1.250000
2.340	1.250000
2.350	1.250000
2.360	1.250000
2.370	1.250000
2.380	1.250000
2.390	1.250000
2.400	1.250000
2.410	1.250000
2.420	1.250000
2.430	1.250000
2.440	1.250000
2.450	1.250000
2.460	1.250000
2.470	1.250000
2.480	1.250000
2.490	1.250000
2.500	1.250000
2.510	1.250000
2.520	1.250000
2.530	1.250000
2.540	1.250000
2.550	1.250000
2.560	1.250000
2.570	1.250000
2.580	1.250000
2.590	1.250000
2.600	1.250000
2.610	1.250000
2.620	1.250000
2.630	1.250000
2.640	0.625000
2.650	0.625000
2.660	0.625000
2.670	0.625000
2.680	0.625000
2.690	0.625000
2.700	0.625000
2.710	0.625000
2.720	0.625000
2.730	0.625000
2.740	0.625000
2.750	0.625000
2.760	0.625000
2.770	0.625000
2.780	0.625000
2.790	0.625000
2.800	0.625000
2.810	0.625000
2.820	0.625000
2.830	0.625000
2.840	0.625000
2.850	0.625000
2.860	0.625000
2.870	0.625000
2.880	0.625000
2.890	0.625000
2.900	0.625000
2.910	0.625000
2.920	0.625000
2.930	0.625000
2.940	0.625000
2.950	0.625000
2.960	0.625000
2.970	0.625000
2.980	0.625000
2.990	0.625000
3.000	0.625000
3.010	0.625000
3.020	0.625000
3.030	0.625000
3.040	0.625000
3.050	0.625000
3.060	0.625000
3.070	0.625000
3.080	0.625000
3.090	0.625000
3.100	0.625000
3.110	0.625000
3.120	0.625000
3.130	0.625000
3.140	0.625000
3.150	0.625000
3.160	0.625000
3.170	0.625000
3.180	0.625000
3.190	0.625000
3.200	0.625000
3.210	0.625000
3.220	0.625000
3.230	0.625000
3.240	0.625000
3.250	0.625000
3.260	0.625000
3.270	0.625000
3.280	0.625000
3.290	0.625000
3.300	0.625000
3.310	0.625000
3.320	0.625000
3.330	0.625000
3.340	0.625000
3.350	0.625000
3.360	0.625000
3.370	0.625000
3.380	0.625000
3.390	0.625000
3.400	0.625000
3.410	0.625000
3.420	0.625000
3.430	0.625000
3.440	0.625000
3.450	0.625000
3.460	0.625000
3.470	0.625000
3.480	0.625000
3.490	0.625000
3.500	0.625000
3.510	0.625000
3.520	0.625000
3.530	0.625000
3.540	0.625000
3.550	0.625000
3.560	0.625000
3.570	0.625000
3.580	0.625000
3.590	0.625000
3.600	0.625000
3.610	0.625000
3.620	0.625000
3.630	0.625000
3.640	0.625000
3.650	0.625000
3.660	0.625000
3.670	0.625000
3.680	0.625000
3.690	0.625000
3.700	0.625000
3.710	0.625000
3.720	0.625000
3.730	0.625000
3.740	0.625000
3.750	0.625000
3.760	0.625000
3.770	0.625000
3.780	0.625000
3.790	0.625000
3.800	0.625000
3.810	0.625000
3.820	0.625000
3.830	0.625000
3.840	0.625000
3.850	0.625000
3.860	0.625000
3.870	0.625000
3.880	0.625000
3.890	0.625000
3.900	0.625000
3.910	0.625000
3.920	0.625000
3.930	0.625000
3.940	0.625000
3.950	0.625000
3.960	0.625000
3.970	0.625000
3.980	0.625000
3.990	0.625000
4.000	0.625000
4.010	0.625000
4.020	0.625000
4.030	0.625000
4.040	0.625000
4.050	0.625000
4.060	0.625000
4.070	0.625000
4.080	0.625000
4.090	0.625000
4.100	0.625000
4.110	0.625000
4.120	0.625000
4.130	0.625000
4.140	0.625000
4.150	0.625000
4.160	0.625000
4.170	0.625000
4.180	0.625000
4.190	0.625000
4.200	0.625000
4.210	0.625000
4.220	0.625000
4.230	0.625000
4.240	0.625000
4.250	0.625000
4.260	0.625000
4.270	0.625000
4.280	0.625000
4.290	0.625000
4.300	0.625000
4.310	0.625000
4.320	0.625000
4.330	0.625000
4.340	0.625000
4.350	0.625000
4.360	0.625000
4.370	0.625000
4.380	0.625000
4.390	0.625000
4.400	0.625000
4.410	0.625000
4.420	0.625000
4.430	0.625000
4.440	0.625000
4.450	0.625000
4.460	0.625000
4.470	0.625000
4.480	0.625000
4.490	0.625000
4.500	0.625000
4.510	0.625000
4.520	0.312500
4.530	0.312500
4.540	0.312500
4.550	0.312500
4.560	0.312500
4.570	0.312500
4.580	0.312500
4.590	0.312500
4.600	0.312500
4.610	0.312500
4.620	0.312500
4.630	0.312500
4.640	0.312500
4.650	0.312500
4.660	0.312500
4.670	0.312500
4.680	0.312500
4.690	0.312500
4.700	0.312500
4.710	0.312500
4.720	0.312500
4.730	0.312500
4.740	0.312500
4.750	0.312500
4.760	0.312500
4.770	0.312500
4.780	0.312500
4.790	0.312500
4.800	0.312500
4.810	0.312500
4.820	0.312500
4.830	0.312500
4.840	0.312500
4.850	0.312500
4.860	0.312500
4.870	0.312500
4.880	0.312500
4.890	0.312500
4.900	0.312500
4.910	0.312500
4.920	0.312500
4.930	0.312500
4.940	0.312500
4.950	0.312500
4.960	0.312500
4.970	0.312500
4.980	0.312500
4.990	0.312500
5.000	0.312500
