# time_in_ns	dG_in_kT
0.000	0.000000
0.010	30.000000
0.020	70.000000
0.030	110.000000
0.040	110.000000
0.050	110.000000
0.060	110.000000
0.070	110.000000
0.080	110.000000
0.090	110.000000
0.100	110.000000
0.110	110.000000
0.120	110.000000
0.130	110.000000
0.140	110.000000
0.150	110.000000
0.160	110.000000
0.170	110.000000
0.180	110.000000
0.190	110.000000
0.200	110.000000
0.210	70.000000
0.220	70.000000
0.230	60.000000
0.240	40.000000
0.250	0.000000
0.260	0.000000
0.270	0.000000
0.280	0.000000
0.290	0.000000
0.300	0.000000
0.310	0.000000
0.320	0.000000
0.330	0.000000
0.340	0.000000
0.350	0.000000
0.360	0.000000
0.370	0.000000
0.380	0.000000
0.390	0.000000
0.400	0.000000
0.410	0.000000
0.420	0.000000
0.430	0.000000
0.440	0.000000
0.450	0.000000
0.460	0.000000
0.470	0.000000
0.480	0.000000
0.490	0.000000
0.500	0.000000
0.510	0.000000
0.520	0.000000
0.530	0.000000
0.540	0.000000
0.550	0.000000
0.560	0.000000
0.570	0.000000
0.580	0.000000
0.590	0.000000
0.600	0.000000
0.610	0.000000
0.620	40.000000
0.630	40.000000
0.640	40.000000
0.650	40.000000
0.660	40.000000
0.670	40.000000
0.680	40.000000
0.690	40.000000
0.700	40.000000
0.710	40.000000
0.720	40.000000
0.730	40.000000
0.740	40.000000
0.750	40.000000
0.760	40.000000
0.770	40.000000
0.780	40.000000
0.790	40.000000
0.800	40.000000
0.810	40.000000
0.820	40.000000
0.830	40.000000
0.840	40.000000
0.850	40.000000
0.860	40.000000
0.870	40.000000
0.880	40.000000
0.890	40.000000
0.900	40.000000
0.910	40.000000
0.920	40.000000
0.930	40.000000
0.940	40.000000
0.950	40.000000
0.960	40.000000
0.970	40.000000
0.980	40.000000
0.990	40.000000
1.000	40.000000
1.010	40.000000
1.020	40.000000
1.030	40.000000
1.040	40.000000
1.050	40.000000
1.060	40.000000
1.070	40.000000
1.080	40.000000
1.090	40.000000
1.100	40.000000
1.110	40.000000
1.120	40.000000
1.130	40.000000
1.140	40.000000
1.150	50.000000
1.160	90.000000
1.170	90.000000
1.180	90.000000
1.190	90.000000
1.200	90.000000
1.210	90.000000
1.220	130.000000
1.230	170.000000
1.240	170.000000
1.250	170.000000
1.260	170.000000
1.270	170.000000
1.280	170.000000
1.290	170.000000
1.300	170.000000
1.310	190.000000
1.320	230.000000
1.330	230.000000
1.340	230.000000
1.350	230.000000
1.360	290.000000
1.370	290.000000
1.380	290.000000
1.390	290.000000
1.400	290.000000
1.410	290.000000
1.420	290.000000
1.430	290.000000
1.440	290.000000
1.450	290.000000
1.460	290.000000
1.470	290.000000
1.480	290.000000
1.490	290.000000
1.500	290.000000
1.510	290.000000
1.520	290.000000
1.530	290.000000
1.540	290.000000
1.550	290.000000
1.560	290.000000
1.570	290.000000
1.580	250.000000
1.590	230.000000
1.600	220.000000
1.610	150.000000
1.620	150.000000
1.630	150.000000
1.640	150.000000
1.650	110.000000
1.660	110.000000
1.670	50.000000
1.680	50.000000
1.690	50.000000
1.700	50.000000
1.710	50.000000
1.720	50.000000
1.730	50.000000
1.740	50.000000
1.750	50.000000
1.760	50.000000
1.770	50.000000
1.780	50.000000
1.790	50.000000
1.800	50.000000
1.810	50.000000
1.820	50.000000
1.830	50.000000
1.840	50.000000
1.850	35.000000
1.860	35.000000
1.870	35.000000
1.880	15.000000
1.890	15.000000
1.900	15.000000
1.910	15.000000
1.920	15.000000
1.930	15.000000
1.940	15.000000
1.950	15.000000
1.960	15.000000
1.970	15.000000
1.980	15.000000
1.990	15.000000
2.000	15.000000
2.010	15.000000
2.020	15.000000
2.030	15.000000
2.040	15.000000
2.050	15.000000
2.060	15.000000
2.070	15.000000
2.080	15.000000
2.090	15.000000
2.100	15.000000
2.110	15.000000
2.120	15.000000
2.130	15.000000
2.140	15.000000
2.150	15.000000
2.160	15.000000
2.170	15.000000
2.180	15.000000
2.190	15.000000
2.200	15.000000
2.210	15.000000
2.220	15.000000
2.230	15.000000
2.240	15.000000
2.250	15.000000
2.260	5.000000
2.270	-15.000000
2.280	-35.000000
2.290	-35.000000
2.300	-35.000000
2.310	-35.000000
2.320	-40.000000
2.330	-50.000000
2.340	-50.000000
2.350	-50.000000
2.360	-50.000000
2.370	-50.000000
2.380	-50.000000
2.390	-50.000000
2.400	-50.000000
2.410	-50.000000
2.420	-50.000000
2.430	-50.000000
2.440	-50.000000
2.450	-50.000000
2.460	-80.000000
2.470	-85.000000
2.480	-85.000000
2.490	-85.000000
2.500	-85.000000
2.510	-85.000000
2.520	-85.000000
2.530	-85.000000
2.540	-85.000000
2.550	-85.000000
2.560	-85.000000
2.570	-85.000000
2.580	-85.000000
2.590	-85.000000
2.600	-85.000000
2.610	-85.000000
2.620	-85.000000
2.630	-85.000000
2.640	-85.000000
2.650	-85.000000
2.660	-85.000000
2.670	-85.000000
2.680	-85.000000
2.690	-85.000000
2.700	-85.000000
2.710	-80.000000
2.720	-50.000000
2.730	-30.000000
2.740	0.000000
2.750	0.000000
2.760	0.000000
2.770	0.000000
2.780	0.000000
2.790	0.000000
2.800	0.000000
2.810	0.000000
2.820	0.000000
2.830	0.000000
2.840	0.000000
2.850	0.000000
2.860	0.000000
2.870	0.000000
2.880	0.000000
2.890	0.000000
2.900	0.000000
2.910	0.000000
2.920	0.000000
2.930	0.000000
2.940	-20.000000
2.950	-45.000000
2.960	-45.000000
2.970	-45.000000
2.980	-65.000000
2.990	-75.000000
3.000	-75.000000
3.010	-75.000000
3.020	-75.000000
3.030	-75.000000
3.040	-75.000000
3.050	-75.000000
3.060	-75.000000
3.070	-75.000000
3.080	-75.000000
3.090	-75.000000
3.100	-90.000000
3.110	-110.000000
3.120	-110.000000
3.130	-110.000000
3.140	-110.000000
3.150	-110.000000
3.160	-110.000000
3.170	-110.000000
3.180	-110.000000
3.190	-110.000000
3.200	-110.000000
3.210	-110.000000
3.220	-110.000000
3.230	-110.000000
3.240	-110.000000
3.250	-110.000000
3.260	-110.000000
3.270	-110.000000
3.280	-110.000000
3.290	-110.000000
3.300	-110.000000
3.310	-110.000000
3.320	-110.000000
3.330	-110.000000
3.340	-110.000000
3.350	-110.000000
3.360	-110.000000
3.370	-110.000000
3.380	-110.000000
3.390	-110.000000
3.400	-110.000000
3.410	-110.000000
3.420	-110.000000
3.430	-110.000000
3.440	-110.000000
3.450	-110.000000
3.460	-110.000000
3.470	-110.000000
3.480	-110.000000
3.490	-110.000000
3.500	-75.000000
3.510	-65.000000
3.520	-65.000000
3.530	-65.000000
3.540	-65.000000
3.550	-65.000000
3.560	-65.000000
3.570	-65.000000
3.580	-65.000000
3.590	-65.000000
3.600	-65.000000
3.610	-65.000000
3.620	-65.000000
3.630	-65.000000
3.640	-50.000000
3.650	-50.000000
3.660	-50.000000
3.670	-40.000000
3.680	-15.000000
3.690	-15.000000
3.700	-15.000000
3.710	-15.000000
3.720	-15.000000
3.730	-15.000000
3.740	-15.000000
3.750	-5.000000
3.760	20.000000
3.770	20.000000
3.780	20.000000
3.790	20.000000
3.800	20.000000
3.810	20.000000
3.820	20.000000
3.830	20.000000
3.840	20.000000
3.850	20.000000
3.860	20.000000
3.870	20.000000
3.880	20.000000
3.890	20.000000
3.900	20.000000
3.910	20.000000
3.920	20.000000
3.930	20.000000
3.940	20.000000
3.950	20.000000
3.960	20.000000
3.970	20.000000
3.980	20.000000
3.990	20.000000
4.000	20.000000
4.010	20.000000
4.020	20.000000
4.030	20.000000
4.040	20.000000
4.050	20.000000
4.060	20.000000
4.070	20.000000
4.080	20.000000
4.090	20.000000
4.100	20.000000
4.110	20.000000
4.120	20.000000
4.130	20.000000
4.140	40.000000
4.150	60.000000
4.160	60.000000
4.170	60.000000
4.180	60.000000
4.190	60.000000
4.200	60.000000
4.210	85.000000
4.220	85.000000
4.230	95.000000
4.240	95.000000
4.250	95.000000
4.260	95.000000
4.270	95.000000
4.280	95.000000
4.290	95.000000
4.300	95.000000
4.310	95.000000
4.320	95.000000
4.330	95.000000
4.340	95.000000
4.350	95.000000
4.360	95.000000
4.370	95.000000
4.380	95.000000
4.390	97.500000
4.400	112.500000
4.410	120.000000
4.420	125.000000
4.430	125.000000
4.440	125.000000
4.450	125.000000
4.460	125.000000
4.470	125.000000
4.480	125.000000
4.490	125.000000
4.500	125.000000
4.510	125.000000
4.520	125.000000
4.530	125.000000
4.540	125.000000
4.550	125.000000
4.560	125.000000
4.570	125.000000
4.580	125.000000
4.590	125.000000
4.600	125.000000
4.610	125.000000
4.620	125.000000
4.630	125.000000
4.640	125.000000
4.650	125.000000
4.660	125.000000
4.670	125.000000
4.680	125.000000
4.690	125.000000
4.700	125.000000
4.710	115.000000
4.720	110.000000
4.730	107.500000
4.740	107.500000
4.750	107.500000
4.760	97.500000
4.770	90.000000
4.780	90.000000
4.790	85.000000
4.800	85.000000
4.810	85.000000
4.820	85.000000
4.830	85.000000
4.840	85.000000
4.850	85.000000
4.860	80.000000
4.870	65.000000
4.880	65.000000
4.890	65.000000
4.900	65.000000
4.910	65.000000
4.920	65.000000
4.930	65.000000
4.940	65.000000
4.950	65.000000
4.960	65.000000
4.970	65.000000
4.980	65.000000
4.990	60.000000
5.000	45.000000
5.010	37.500000
5.020	37.500000
5.030	37.500000
5.040	37.500000
5.050	37.500000
5.060	37.500000
5.070	37.500000
5.080	37.500000
5.090	37.500000
5.100	37.500000
5.110	37.500000
5.120	37.500000
5.130	37.500000
5.140	30.000000
5.150	15.000000
5.160	15.000000
5.170	15.000000
5.180	15.000000
5.190	15.000000
5.200	15.000000
5.210	15.000000
5.220	15.000000
5.230	15.000000
5.240	15.000000
5.250	15.000000
5.260	15.000000
5.270	15.000000
5.280	15.000000
5.290	15.000000
5.300	15.000000
5.310	15.000000
5.320	15.000000
5.330	15.000000
5.340	15.000000
5.350	15.000000
5.360	15.000000
5.370	15.000000
5.380	15.000000
5.390	15.000000
5.400	15.000000
5.410	15.000000
5.420	15.000000
5.430	0.000000
5.440	-10.000000
5.450	-10.000000
5.460	-10.000000
5.470	-10.000000
5.480	-10.000000
5.490	-10.000000
5.500	-10.000000
5.510	-10.000000
5.520	-10.000000
5.530	-12.500000
5.540	-20.000000
5.550	-25.000000
5.560	-25.000000
5.570	-25.000000
